Date,Week,Month,Year,Medium,Impressions,Ad Spend
07/04/2023,14,4,2023,Display,47295.00,71.00
07/04/2023,14,4,2023,Display,47584.00,71.00
07/04/2023,14,4,2023,Display,10994.00,16.00
07/04/2023,14,4,2023,Display,10968.00,16.00
07/04/2023,14,4,2023,Display,11069.00,17.00
07/04/2023,14,4,2023,Display,11062.00,17.00
07/04/2023,14,4,2023,Display,10925.00,16.00
07/04/2023,14,4,2023,Display,10847.00,16.00
07/04/2023,14,4,2023,Display,5935.00,9.00
07/04/2023,14,4,2023,Display,5375.00,8.00
07/04/2023,14,4,2023,Display,5358.00,8.00
07/04/2023,14,4,2023,Display,5329.00,8.00
07/04/2023,14,4,2023,Display,5407.00,8.00
07/04/2023,14,4,2023,Display,5330.00,8.00
07/04/2023,14,4,2023,Display,5292.00,8.00
07/04/2023,14,4,2023,Display,4477.00,7.00
07/04/2023,14,4,2023,Display,4464.00,7.00
07/04/2023,14,4,2023,Display,4334.00,7.00
07/04/2023,14,4,2023,Display,4347.00,7.00
07/04/2023,14,4,2023,Display,4307.00,6.00
07/04/2023,14,4,2023,Display,4284.00,6.00
07/04/2023,14,4,2023,Display,4274.00,6.00
07/04/2023,14,4,2023,Unknown,1.00,-
07/04/2023,14,4,2023,Unknown,0.00,-
07/04/2023,14,4,2023,Advertorial,1.00,0.00
07/04/2023,14,4,2023,Display,4813.00,41.00
07/04/2023,14,4,2023,Display,4563.00,39.00
07/04/2023,14,4,2023,Display,4534.00,39.00
07/04/2023,14,4,2023,Display,4581.00,39.00
07/04/2023,14,4,2023,Display,4757.00,40.00
07/04/2023,14,4,2023,Display,4630.00,39.00
07/04/2023,14,4,2023,Display,4466.00,38.00
07/04/2023,14,4,2023,Display,7379.00,63.00
07/04/2023,14,4,2023,Display,7444.00,63.00
07/04/2023,14,4,2023,Display,7194.00,61.00
07/04/2023,14,4,2023,Display,7398.00,63.00
07/04/2023,14,4,2023,Display,7170.00,61.00
07/04/2023,14,4,2023,Display,7388.00,63.00
07/04/2023,14,4,2023,Display,7381.00,63.00
07/04/2023,14,4,2023,Display,10704.00,91.00
07/04/2023,14,4,2023,Display,1320.00,6.00
07/04/2023,14,4,2023,Display,40137.00,181.00
07/04/2023,14,4,2023,Display,37452.00,169.00
08/04/2023,14,4,2023,Display,134116.00,201.00
08/04/2023,14,4,2023,Display,133830.00,201.00
08/04/2023,14,4,2023,Display,133524.00,200.00
08/04/2023,14,4,2023,Display,133713.00,201.00
08/04/2023,14,4,2023,Display,133709.00,201.00
08/04/2023,14,4,2023,Display,133782.00,201.00
08/04/2023,14,4,2023,Display,132974.00,199.00
08/04/2023,14,4,2023,Display,40154.00,60.00
08/04/2023,14,4,2023,Display,52694.00,79.00
08/04/2023,14,4,2023,Display,52439.00,79.00
08/04/2023,14,4,2023,Display,52431.00,79.00
08/04/2023,14,4,2023,Display,52236.00,78.00
08/04/2023,14,4,2023,Display,52376.00,79.00
08/04/2023,14,4,2023,Display,52202.00,78.00
08/04/2023,14,4,2023,Display,51970.00,78.00
08/04/2023,14,4,2023,Display,13345.00,20.00
08/04/2023,14,4,2023,Display,11536.00,17.00
08/04/2023,14,4,2023,Display,11448.00,17.00
08/04/2023,14,4,2023,Display,11422.00,17.00
08/04/2023,14,4,2023,Display,11365.00,17.00
08/04/2023,14,4,2023,Display,11243.00,17.00
08/04/2023,14,4,2023,Display,11149.00,17.00
08/04/2023,14,4,2023,Display,10195.00,15.00
08/04/2023,14,4,2023,Display,10078.00,15.00
08/04/2023,14,4,2023,Display,10173.00,15.00
08/04/2023,14,4,2023,Display,10102.00,15.00
08/04/2023,14,4,2023,Display,9967.00,15.00
08/04/2023,14,4,2023,Display,9967.00,15.00
08/04/2023,14,4,2023,Display,4724.00,7.00
08/04/2023,14,4,2023,Display,4676.00,7.00
08/04/2023,14,4,2023,Display,4626.00,7.00
08/04/2023,14,4,2023,Display,4551.00,7.00
08/04/2023,14,4,2023,Display,4576.00,7.00
08/04/2023,14,4,2023,Display,4595.00,7.00
08/04/2023,14,4,2023,Display,4522.00,7.00
08/04/2023,14,4,2023,Display,3430.00,5.00
08/04/2023,14,4,2023,Display,2882.00,4.00
08/04/2023,14,4,2023,Display,2828.00,4.00
08/04/2023,14,4,2023,Display,2903.00,4.00
08/04/2023,14,4,2023,Display,2848.00,4.00
08/04/2023,14,4,2023,Display,2821.00,4.00
08/04/2023,14,4,2023,Display,2796.00,4.00
08/04/2023,14,4,2023,Advertorial,3.00,0.00
08/04/2023,14,4,2023,Display,4624.00,39.00
08/04/2023,14,4,2023,Display,4604.00,39.00
08/04/2023,14,4,2023,Display,4552.00,39.00
08/04/2023,14,4,2023,Display,4523.00,38.00
08/04/2023,14,4,2023,Display,4588.00,39.00
08/04/2023,14,4,2023,Display,4736.00,40.00
08/04/2023,14,4,2023,Display,4516.00,38.00
